dialogue_id,utterance_id,utterance_type,utterance,labels,bounds
20230130_121619_616794,0,user,Es kommt zu weniger Unfällen durch  Trunkenheit oder durch menschliche Fehleinschätzungen,['Z.P11'],"[(0, 89)]"
20230130_121619_616794,1,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
20230130_121619_616794,2,user,"Menschen könnten Alkohol getrunken und trotzdem Auto fahren. Dadurch kommt es zu Unfällen. Wenn Autos autonom fahren, wird verhindert, dass betrunkene Menschen Auto fahren.",['Z.P11'],"[(0, 172)]"
20230130_121619_616794,3,bot,"Das ist möglich. Aber hast Du schon einmal daran gedacht: autoKI haben große Probleme damit, sich auf irrationales Fahrverhalten von Menschen einzustellen. Wie man mit müden oder abgelenkten anderen Verkehrsteilnehmer:innen umgeht, lässt sich nur sehr schwierig simulieren. Hier wird die autoKI an ihre Grenzen stoßen.","['intro_2', 'z_trans_2', 'Z.P8-1']","[(0, 17), (17, 58), (58, 319)]"
20230130_121619_616794,4,user,"Ja, das kann ich verstehen. Aber auch Menschen sind nicht immer darin erfolgreich, sich auf das Verhalten anderer Verkehrsteilnehmer einzustellen.","['CONSENT', 'Z.P8-1-1']","[(0, 27), (27, 146)]"
20230130_121619_616794,5,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
20230130_121619_616794,6,user,"Auch Menschen können Probleme damit haben, sich  auf irrationales Fahrverhalten von Menschen einzustellen.",['Z.P8-1-1'],"[(0, 106)]"
20230130_121619_616794,7,bot,"Das mag sein. Um auch noch einmal eine andere Seite zu beleuchten: Neue Technologien, die den Menschen als Kontrollorgan immer weiter zurückdrängen, werden oftmals eher skeptisch betrachtet. Es ist fraglich, ob entsprechende führerlose Fahrzeuge von der Gesellschaft angenommen und akzeptiert werden.","['intro_3', 'z_trans_13', 'Z.C5']","[(0, 14), (14, 67), (67, 301)]"
20230130_121619_616794,8,user,"Ich stimme zu, dass es schwer sein kann, eine kulturelle Akzeptanz für AutoKI zu erlangen.","['CONSENT', 'Z.C5']","[(0, 14), (14, 90)]"
20230130_121619_616794,9,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
20230130_121619_616794,10,user,Ich kann das Argument verstehen.,['CONSENT'],"[(0, 32)]"
20230130_121619_616794,11,bot,"Das verstehe ich. Um auch noch einmal eine andere Seite zu beleuchten: Es bedarf eines Rechtsrahmens, der den Einsatz der KI als Fahrzeugführer:in ermöglicht und die Einführung von fahrerlosen Fahrzeugen in den Regelbetrieb schafft.","['intro_1', 'z_trans_13', 'Z.C10']","[(0, 18), (18, 71), (71, 233)]"
20230130_125648_057861,0,user,ES GIBT IMMER SZENARIEN AUF DIE DIE KI NICHT EINGESTELLT WURDE,['Z.C3'],"[(0, 62)]"
