dialogue_id,utterance_id,utterance_type,utterance,labels,bounds
20230130_114643_242390,0,user,Für eine KI ist es nicht möglich Empathie o.Ä. zu empfinden und diese beim Urteil zu berücksichtigen und mit einfließen lassen,['Z.K2'],"[(0, 127)]"
20230130_114643_242390,1,bot,"Du argumentierst, dass KI keine Werte befolgt. Das ist im Szenario bereits berücksichtigt: Die jurKI ist ein zertifizierter Service des Staates, der die moralischen Leitlinien und Regeln vorgibt. Hierfür werden insb. auch die Erkenntnisse der Philosophie und Computerwissenschaft hinzugezogen und z.B. in ein passendes Diskriminierungsgesetz übersetzt.","['intro_26', 'Z.K6', 'intro_56', 'Z.K6-1']","[(0, 23), (23, 47), (47, 91), (91, 353)]"
20230130_114643_242390,2,user,Meiner Meinung nach ist dies aber nicht dasselbe. Da vorgegebene Leitlinien und Regeln nicht auf die verschiedenen Individualfälle angepasst sind und so nicht für jede Möglichkeit optimal vorbereitet sind,['Z.P6-1'],"[(0, 205)]"
20230130_114643_242390,3,bot,"Du sagst, dass KI keine Werte befolgt. Darauf geht unser Szenario wie folgt ein: Dieser Einwand beruht auf einem technisch überholten Bild und setzt ein idealisiertes Bild von Richter:innen voraus. Das Lernverfahren erfolgt mittlerweile Bottom-Up, also bspw. zunächst anhand kleinerer und einfacher Fälle bis hin zu komplexen und schwierigen Sachverhalten, und der jurKI können Werte beigebracht werden, etwa durch das sog. supervised learning.","['intro_27', 'Z.K6', 'intro_55', 'Z.K6-2']","[(0, 15), (15, 39), (39, 81), (81, 446)]"
20230130_114643_242390,4,user,"Die KI kann im Strafmaß nicht so frei handeln wie ein Mensch. Z.B. alternative Strafen die im Rehabilitationsprozess, die diesen zusätzlich fördern würden",['Z.K4'],"[(0, 155)]"
20230130_114643_242390,5,bot,"Du merkst an, dass KI keine Werte befolgt. Darauf geht unser Szenario wie folgt ein: Vorschläge aus der Praxis für ethische Grundsätze des Einsatzes von jurKI in der Justiz liegen bereits vor, etwa von der Europäischen Kommission für die Effizienz der Justiz des Europarates (CEPEJ). Der Einsatz der jurKI müsste natürlich auch diesen Grundsätzen folgen.","['intro_28', 'Z.K6', 'intro_55', 'Z.K6-3']","[(0, 19), (19, 43), (43, 85), (85, 355)]"
20230130_114643_242390,6,user,Die KI könnte auch falsche Werte lernen und so zu immer extremeren Strafen lehnen,['Z.K6-1-1'],"[(0, 81)]"
20230130_114643_242390,7,bot,"Kurz zusammengefasst, KI könnte von fehlerhaften Urteilen falsch lernen und Leitlinien sowie sonstige Regeln verletzen. Das ist im Szenario bereits berücksichtigt: Neben der Umsetzung der Regeln und Leitlinien wird eine jurKI ausschließlich aus selektierten Fällen, die gerade nicht vorurteilsbehaftet und diskriminierend sind, lernen und somit bestehende Vorurteile oder Diskriminierungen nicht berücksichtigen.","['intro_24', 'Z.K6-1-1', 'intro_56', 'Z.K6-1-1-1']","[(0, 22), (22, 120), (120, 164), (164, 413)]"
20230130_114643_242390,8,user,Wenn die KI aus rein diskriminierungsfreien Fällen lernt fehlt ihr die Erfahrung,['Z.P4-1'],"[(0, 81)]"
20230130_114643_242390,9,bot,"Wenn ich richtig verstanden habe, fragst du  welche Art von Fällen diese KI verhandelt. Unsere jurKI ist auf zivilrechtliche Verfahren spezialisiert, wobei wir das Familienrecht als Teilgebiet explizit nicht hinzuzählen. Strafrechtliche Verfahren schließen wir in unserem Szenario ebenfalls aus. Um hier einen neuen Punkt in die Diskussion einzubringen: Durch den Einsatz der jurKI kann der Faktor Subjektivität bei Gerichtsurteilen ausgeräumt werden. Eine jurKI lässt sich nicht etwa durch Mitgefühl von den objektiven Fakten ablenken. Dies führt zu mehr Gerechtigkeit.","['intro_37', 'FAQ.1', 'FAQ.1-1', 'faq_trans_1', 'Z.P1']","[(0, 45), (45, 88), (88, 296), (296, 354), (354, 571)]"
