Unnamed: 0,dialogue,utterance_id,utterance_type,utterance_text,labels,bounds
0,20230130_120346_330459,0,user,KI sind präziser,['Z.P6'],"[(0, 17)]"
1,20230130_120346_330459,1,bot,"Mit anderen Worten, die medKI liefert genauere Ergebnisse. Das kann ich nachvollziehen. Andererseits: Allerdings können Wahrscheinlichkeitsabwägungen viele Patient:innen in für sie existiellen Situationen überfordern und somit kontraproduktiv sein.","['intro_32', 'Z.P6', 'intro_49', 'Z.P6-1']","[(0, 20), (20, 59), (59, 102), (102, 249)]"
2,20230130_120346_330459,2,user,KI sind objektiv,['Z.P2'],"[(0, 17)]"
3,20230130_120346_330459,3,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
4,20230130_120346_330459,4,user,KI sind nicht bestechbar,['Z.P2'],"[(0, 24)]"
5,20230130_120346_330459,5,bot,"Das ist möglich. Aber zu beachten ist: Eine medKI kann zwar den Ärztemangel lindern, aber dafür wird mehr medizinisches Fachpersonal (u.a.  Pflegeberufe, Praxishelfer:innen, medizinische Fachassistent:innnen usw.) einschl. neuer, ähnlicher Berufsbilder benötigt.","['intro_2', 'z_trans_12', 'Z.P1-1']","[(0, 17), (17, 39), (39, 264)]"
6,20230130_120346_330459,6,user,KI können besser alles managen,['PRO_NZARG'],"[(0, 30)]"
7,20230130_120346_330459,7,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
8,20230130_120346_330459,8,user,KI sehen nur die krankheit nicht menschen,['Z.K1'],"[(0, 41)]"
9,20230130_120346_330459,9,bot,"Das ist möglich. Aber zu beachten ist: Wenn Fehler vom Fachpersonal in den Datenerhebungszentren gemacht werden, kommt die medKI zu falschen Schlussfolgerungen. Daher kann man sich auf die Entscheidungen nicht verlassen.","['intro_2', 'z_trans_12', 'Z.K18']","[(0, 17), (17, 39), (39, 221)]"
10,20230130_121250_741485,0,user,"Bessere Diagnose, quasi frei von Vorurteilen.",['Z.P6'],"[(0, 45)]"
11,20230130_121250_741485,1,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
12,20230130_121250_741485,2,user,Kannst du das anders formulieren?,['OTHER'],"[(0, 33)]"
