dialogue_id,utterance_id,utterance_type,utterance,labels,bounds
20230720_122924_835311,0,user,KI können keine menschlichen Entscheidungen treffen,['Z.K7'],"[(0, 51)]"
20230720_122924_835311,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | medKI kann komplexe Lebensumstände der Patient:innen nicht einbeziehen. |   Das ist im Szenario bereits berücksichtigt: Die Erfassung ganzheitlicher Lebensumstände ist eine Schwäche einer medKI, die auf medizinisches Fachwissen spezialisiert ist. Allerdings sind die Lebensumstände nicht immer relevant. Sind sie es doch, ist es Aufgabe des Fachpersonals, diese als Daten in geeigneter Abstraktion mit anzugeben.",['Z.K2'],"[(0, 558)]"
20230720_122924_835311,2,user,"Wem das Fachpersonal das angeben muss, kann es auch gleich selbst agieren",['NZ.K10'],"[(0, 74)]"
20230720_122924_835311,3,bot,"Dein Argument ist, dass KI nur unterstützend tätig sein sollte. Das ist eher unwahrscheinlich. Die Unterstützung von Ärzten durch KI ist  ethisch relativ unproblematisch und findet bereits heute Anwendung. Allerdings wollen wir hier die weitergehende Frage diskutieren, ob eine KI auch die Entscheidungen von Ärzten ersetzen kann. Zudem sollte man hier auch Folgendes berücksichtigen: Eine medKI wäre rund um die Uhr erreichbar; in der Nacht oder am Wochenende, wenn auch nur in einer Notbesetzung mit medizinischem Hilfspersonal. Das ließe sich ohne medKI sonst nur in großen Kliniken sicherstellen und wäre auf dem Land nicht möglich.","['intro_25', 'NZ.K10', 'intro_7', 'NZ.K10-1', 'z_trans_4', 'Z.P1']","[(0, 24), (24, 64), (64, 95), (95, 331), (331, 385), (385, 637)]"
20230720_122924_835311,4,user,Auf dem Land hat man nur schlechte Internet Anbindung t Anbindun,['OTHER'],"[(0, 64)]"
20230720_122924_835311,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | ein Ausfall der Infrastruktur macht die Behandlungen unmöglich. |   Dein Argument ist nicht spezifisch bzgl. der medKI sondern gilt für viele fortgeschrittliche Innovationen. Ein Ausfall der Infrastruktur ist kein Problem der medKI allein, sondern durch die Digitalisierung bereits heute sehr kritisch.",['Z.K19'],"[(0, 448)]"
20230720_122924_835311,6,user,Auf dem Land kann mit schlechten Internet die KI keine qualifizierten Diagnosen stellen,['OTHER'],"[(0, 87)]"
20230720_122924_835311,7,bot,"Kurz zusammengefasst, Menschen werden abhängig von der medKI. Dein Argument ist nicht spezifisch bzgl. der medKI sondern gilt für viele fortgeschrittliche Innovationen. In unserem Szenario wird die medKI von Fachärtzt:innen in Kompetenzzentren weiterentwickelt und überwacht. Ein ""Aussterben"" menschlicher Ärzt:innen ist nicht vorgesehen, und die volle Funktionsfähigkeit der medKI kann jederzeit unter menschlicher Aufsicht gewährleistet werden.","['intro_24', 'Z.K16', 'intro_57', 'Z.K16-1']","[(0, 22), (22, 62), (62, 169), (169, 447)]"
20230720_122924_835311,8,user,Das wäre ein Option,['CONSENT'],"[(0, 19)]"
20230720_122924_835311,9,bot,"Du argumentierst, dass bei einer KI keine zweite Meinung eingeholt werden kann. Ich denke damit liegst du nicht richtig. In unserem Szenario würde die KI ein Zulassung wie Ärtz:innen erhalten, wodurch sie gleichwertig zu menschlichen Ärtz:innen Patient:innen behandeln könnte. Ärzt:innen würden weiterhin existieren und könnten eine Zweitmeinung abgeben. Ich würde hier noch folgenden Punkt hinzufügen: Die Anwendung einer medKI ist standardisiert und reproduzierbar. Sie hängt nicht von den unterschiedlichen Fähigkeiten oder der Tagesform der behandelnden Ärzt:innen ab. Stattdessen liefert sie gleichbleibend gute Ergebnisse und ermüdet im Gegensatz zum menschlichen Gehirn nicht.","['intro_26', 'NZ.K1', 'intro_10', 'NZ.K1-1', 'z_trans_9', 'Z.P2']","[(0, 23), (23, 80), (80, 121), (121, 355), (355, 403), (403, 684)]"
