Unnamed: 0,dialogue,utterance_id,utterance_type,utterance_text,labels,bounds
0,20230720_133418_279839,0,user,KI besitzen keine Empathie und können sich nicht in Spieler*innen hineinversetzen,['Z.K5'],"[(0, 82)]"
1,20230720_133418_279839,1,bot,"Kurz zusammengefasst, Einer SchiriKI fehlt die menschliche Intuition. Das ist ein gutes Argument. Direkt dazu: Eine SchiriKI kann die menschliche Erfahrung durch das Training mit Daten in Form des überwachten Lernens nutzen. Daraus entwickelt sich eine ganz eigene Art von Intuition.","['intro_24', 'Z.K5', 'intro_47', 'Z.K5-1']","[(0, 22), (22, 70), (70, 111), (111, 284)]"
2,20230720_133418_279839,2,user,Ich denke eine KI kann nicht jede Situation so gut erfassen wie ein mensch,['Z.K5'],"[(0, 74)]"
3,20230720_133418_279839,3,bot,"Du argumentierst, dass Einer SchiriKI die menschliche Intuition fehlt. Das verstehe ich. Aber zu beachten ist: Eine SchiriKI trifft konsistente regelkonforme Entscheidungen und entscheidet in ähnlichen Situationen gleich.","['intro_26', 'Z.K5', 'intro_54', 'z_trans_12', 'Z.P1']","[(0, 23), (23, 71), (71, 89), (89, 111), (111, 222)]"
4,20230720_133418_279839,4,user,"Menschliche Fehler gehören auch dazu, Fehlentscheidungen der Schiedsrichter gehören auch zum spiel",['Z.K8'],"[(0, 98)]"
5,20230720_133418_279839,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Zum Fußball gehört die Unberechenbarkeit auch der Schiedsrichter. |   Das ist möglich. Das ist ein Widerspruch in sich, wenn man einerseits Schiedsrichter für Fehlentscheidungen beschimpft, aber andererseits den Zustand nicht verbessern will.",['Z.K8'],"[(0, 388)]"
6,20230720_133418_279839,6,user,"Wenn die Fehlentscheidungen zugunsten deines Teams sind, wird der Schiri nicht beschimpft",['Z.K8-1'],"[(0, 89)]"
7,20230720_133418_279839,7,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Menschen sind widersprüchlich. |   Ich denke damit liegst du richtig.  Ansprechen möchte ich noch: Aufgrund der objektiven und nachvollziehbaren Entscheidungen der SchiriKI wird es zu weniger Diskussionen und Protesten auf dem Spielfeld kommen.",['Z.K8.1.1'],"[(0, 388)]"
8,20230720_110809_669606,0,user,Eine KI kann objektivere Entscheidungen treffen als ein Mensch und macht somit das Spiel fairer,['Z.P2'],"[(0, 95)]"
9,20230720_110809_669606,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet objektiv und emotionslos. |   Das ist ein gutes Argument. Direkt dazu: Da eine SchiriKI von ihrer Datengrundlage abhängig ist, ist sie entscheidend von der menschlichen Auswahl der Daten geprägt. Diese muss dafür sorgen, dass die Daten u.a. keine versteckte Diskriminierung enthalten. Die Auswahl erfolgt durch einen Mensch, womit wieder die Unberechenbarkeit bzw. Fehleranfälligkeit menschlicher Entscheidungen mit durchschwingen kann.",['Z.P2'],"[(0, 608)]"
10,20230720_133228_064340,0,user,KI kann Entscheidung vorallem bei Rudelbildungen nicht treffen wie es ein Schiedsrichter kann,['Z.K5'],"[(0, 93)]"
11,20230720_133228_064340,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Einer SchiriKI fehlt die menschliche Intuition. |   Das kann ich nachvollziehen. Direkt dazu: Eine SchiriKI kann die menschliche Erfahrung durch das Training mit Daten in Form des überwachten Lernens nutzen. Daraus entwickelt sich eine ganz eigene Art von Intuition.",['Z.K5'],"[(0, 412)]"
12,20230720_133228_064340,2,user,Eine KI kann durch technische Probleme ausfallen,['Z.K4'],"[(0, 48)]"
13,20230720_133228_064340,3,bot,"Du merkst an, dass Eine SchiriKI wegen technische Störungen ausfallen kann. Das verstehe ich. Fällt die SchiriKI aus, wird dies der ""Autoritätsperson"" innerhalb kurzer Zeit auffallen, wenn nicht sowieso bereits das System der SchiriKI über eine eingeschränkte Nutzung informiert.","['intro_28', 'Z.K4', 'intro_1', 'Z.K4-1']","[(0, 19), (19, 76), (76, 94), (94, 280)]"
14,20230720_133228_064340,4,user,Die KI nimmt den Schiedsrichter die Arbeitsplätze weg,['Z.P9-1'],"[(0, 53)]"
15,20230720_133228_064340,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Einer SchiriKI fehlt die menschliche Intuition. |   Das ist ein gutes Argument.  Ansprechen möchte ich noch: Eine SchiriKI trifft konsistente regelkonforme Entscheidungen und entscheidet in ähnlichen Situationen gleich.",['Z.K5'],"[(0, 363)]"
16,20230720_133228_064340,6,user,Die kann hat im Gegensatz zu einem Schiedsrichter keine Autorität auf dem Platz,['Z.K9'],"[(0, 79)]"
17,20230720_133228_064340,7,bot,"Du argumentierst, dass Eine Schiri-KI keine Autorität auf dem Platz hat. Das ist möglich. Im Szenario ist ein Schiedsrichter bzw. eine Schiedsrichterin auf dem Platz vorgesehen, der oder die die Entscheidungen der Schiri-KI kommuniziert.","['intro_26', 'Z.K9', 'intro_2', 'Z.K9.1']","[(0, 23), (23, 73), (73, 90), (90, 238)]"
18,20230720_133228_064340,8,user,KI kann Entscheidung konstanter entscheiden als Menschen,['Z.P1'],"[(0, 56)]"
19,20230720_133228_064340,9,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Ich stimme deiner Argumentation zu. |   Schön, dass du mein Argument gut findest.   Aber zu beachten ist: Aufgrund der objektiven und nachvollziehbaren Entscheidungen der SchiriKI wird es zu weniger Diskussionen und Protesten auf dem Spielfeld kommen.",['OTHER'],"[(0, 395)]"
20,20230720_133228_064340,10,user,Die KI kann getäuscht werden,['Z.K2'],"[(0, 28)]"
21,20230720_133228_064340,11,bot,"Du merkst an, dass Eine SchiriKI gezielt getäuscht werden kann. Das verstehe ich. Eine SchiriKI wird ständig nachtrainiert, so dass sie auch gezielte Täuschungen schnell lernt.","['intro_28', 'Z.K2', 'intro_1', 'Z.K2-1']","[(0, 19), (19, 64), (64, 82), (82, 177)]"
22,20230720_133228_064340,12,user,Die KI könnte bei schwierigen Wetterbedingungen gestört werden,['Z.K3'],"[(0, 62)]"
23,20230720_133228_064340,13,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI funktioniert nicht bei schlechter Sicht. |   Das mag sein. Das ist wahrscheinlich korrekt. Aber unter diesen Umständen müsste ein Spiel auch ohne SchiriKI unterbrochen oder abgebrochen werden.",['Z.K3'],"[(0, 353)]"
24,20230720_112051_251795,0,user,"Äußere Umstände, die die KI nicht beurteilen kann.",['Z.K5'],"[(0, 51)]"
25,20230720_112051_251795,1,bot,"Du merkst an, dass Einer SchiriKI die menschliche Intuition fehlt. Das verstehe ich. Andererseits: Eine SchiriKI kann die menschliche Erfahrung durch das Training mit Daten in Form des überwachten Lernens nutzen. Daraus entwickelt sich eine ganz eigene Art von Intuition.","['intro_28', 'Z.K5', 'intro_50', 'Z.K5-1']","[(0, 19), (19, 67), (67, 99), (99, 272)]"
26,20230720_112051_251795,2,user,Dennoch kann sie Verbalevergehen oder Ähnliches nicht beurteilen.,['Z.K1'],"[(0, 65)]"
27,20230720_112051_251795,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine Schiri-KI hat keine Autorität auf dem Platz |   Das mag sein. Im Szenario ist ein Schiedsrichter bzw. eine Schiedsrichterin auf dem Platz vorgesehen, der oder die die Entscheidungen der Schiri-KI kommuniziert.",['Z.K9'],"[(0, 360)]"
28,20230720_112051_251795,4,user,"Kann die KI nicht nur unterstützen, denn eine Vollstände Kontrolle würde, den Schiedsrichter unnötig machen. Schließlich fehlen auch die Blickwinkel auf dem Platz","['NZ.K10', 'Z.K1']","[(0, 36), (36, 163)]"
29,20230720_112051_251795,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI funktioniert nicht bei schlechter Sicht. |   Das ist möglich. Das ist wahrscheinlich korrekt. Aber unter diesen Umständen müsste ein Spiel auch ohne SchiriKI unterbrochen oder abgebrochen werden.",['Z.K3'],"[(0, 356)]"
30,20230720_112051_251795,6,user,"Ich interpretiere schlechte Sicht eher, als fehlende Blickwinkel, da die Perspektive auf dem Platz fehlt.",['Z.K3'],"[(0, 106)]"
31,20230720_112051_251795,7,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann gezielt getäuscht werden. |   Das verstehe ich. Eine SchiriKI wird ständig nachtrainiert, so dass sie auch gezielte Täuschungen schnell lernt.",['Z.K2'],"[(0, 307)]"
32,20230720_112051_251795,8,user,"Dennoch, würde das eine gewisse Ungerechtigkeit mit sich ziehen, da in einem Spiel eine Szene anders entschieden wird.",['Z.K1'],"[(0, 118)]"
33,20230720_112051_251795,9,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI funktioniert nicht gut genug. |   Das mag sein. Eine SchiriKI wird kontinuierlich verbessert, indem sie mit neuen Situationen nachtrainiert wird und geänderte Regeln beigebracht bekommt. Es gibt beim Fußball ohnehin nur eine begrenztet Anzahl von Entscheidungen, die sich auch mit den derzeitigen Methoden des Deep Learning sehr gut trainieren lassen, da es viele Trainingsbeispiele gibt.",['Z.K1'],"[(0, 549)]"
34,20230720_112051_251795,10,user,Und was ist mit Ausnahmen?,['OTHER'],"[(0, 26)]"
35,20230720_112051_251795,11,bot,"Du meinst also, dass Fehler in den Daten Fehler der KI verursachen könnten. Das ist möglich. Da fehlerhafte Entscheidungen bei der Auswahl der Datensätze viel leichter erkannt werden, als einem menschlichen Schiedsrichter in der konkreten Situation, hat die SchiriKI aufgrund ihrer Vorbereitung auf konkrete Anwendungsbeispiele einen erheblichen Vorteil gegenüber menschlichen Schiedsrichtern.","['intro_23', 'Z.K1-1-1', 'intro_2', 'Z.K1-1-1-1']","[(0, 21), (21, 76), (76, 93), (93, 394)]"
36,20230720_131153_930223,0,user,Ich verstehe in erster Linie nicht ganz wie eine KI alle Entscheidungen auf dem Platz treffen kann?,['FAQ.2'],"[(0, 99)]"
37,20230720_131153_930223,1,bot,"Kurz zusammengefasst, Einer SchiriKI fehlt die menschliche Intuition. Das kann ich nachvollziehen. Andererseits: Eine SchiriKI kann die menschliche Erfahrung durch das Training mit Daten in Form des überwachten Lernens nutzen. Daraus entwickelt sich eine ganz eigene Art von Intuition.","['intro_24', 'Z.K5', 'intro_49', 'Z.K5-1']","[(0, 22), (22, 70), (70, 113), (113, 286)]"
38,20230720_131153_930223,2,user,Was ist bei schlechtem Wetter?,['Z.K3'],"[(0, 30)]"
39,20230720_131153_930223,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI funktioniert nicht bei schlechter Sicht. |   Das mag sein. Das ist wahrscheinlich korrekt. Aber unter diesen Umständen müsste ein Spiel auch ohne SchiriKI unterbrochen oder abgebrochen werden.",['Z.K3'],"[(0, 353)]"
40,20230720_120330_440255,0,user,"Bei vielen Entscheidungen gehört ein gewisses Maß an Fingerspitzengefühl und Menschenkenntnis, dass ein KI Schiedsrichter nicht besitzt",['Z.K5'],"[(0, 135)]"
41,20230720_120330_440255,1,bot,"Kurz zusammengefasst, Einer SchiriKI fehlt die menschliche Intuition. Das ist ein gutes Argument. Andererseits: Eine SchiriKI kann die menschliche Erfahrung durch das Training mit Daten in Form des überwachten Lernens nutzen. Daraus entwickelt sich eine ganz eigene Art von Intuition.","['intro_24', 'Z.K5', 'intro_46', 'Z.K5-1']","[(0, 22), (22, 70), (70, 112), (112, 285)]"
42,20230720_120330_440255,2,user,Ist nur die Frage ob diese Art von Intention wirklich besser ist,['Z.K5-1'],"[(0, 64)]"
43,20230720_120330_440255,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann keine Verantwortung übernehmen. |   Das kann ich nachvollziehen. Direkt dazu: Verantwortung und Gewissen sind für die Tätigkeit als Schiedsrichter nicht erforderlich. Es geht um die Einhaltung der Spielregeln. Das Einsehen eigenen Unrechts und die Übernahme von Verantwortung ist bei der Darstellung von Fakten nicht notwendig.",['Z.K6'],"[(0, 492)]"
44,20230720_120330_440255,4,user,Man hat Verantwortung beispielsweise ob man bei Krawallen ein Spiel unterbricht oder nicht,['Z.K6'],"[(0, 90)]"
45,20230720_120330_440255,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI funktioniert nicht gut genug. |   Das verstehe ich. Eine SchiriKI wird kontinuierlich verbessert, indem sie mit neuen Situationen nachtrainiert wird und geänderte Regeln beigebracht bekommt. Es gibt beim Fußball ohnehin nur eine begrenztet Anzahl von Entscheidungen, die sich auch mit den derzeitigen Methoden des Deep Learning sehr gut trainieren lassen, da es viele Trainingsbeispiele gibt.",['Z.K1'],"[(0, 553)]"
46,20230720_120330_440255,6,user,Gg,['OTHER'],"[(0, 2)]"
47,20230720_120330_440255,7,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann gezielt getäuscht werden. |   Das ist möglich. Eine SchiriKI wird ständig nachtrainiert, so dass sie auch gezielte Täuschungen schnell lernt.",['Z.K2'],"[(0, 306)]"
48,20230720_120330_440255,8,user,Aber man findet immer neue wege,['Z.K2'],"[(0, 31)]"
49,20230720_120330_440255,9,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Ich finde deine Argumentation nicht überzeugend. |   Schade, dass dich meine Argumentation nicht überzeugt.  Aber hast Du schon einmal daran gedacht: Eine SchiriKI trifft konsistente regelkonforme Entscheidungen und entscheidet in ähnlichen Situationen gleich.",['OTHER'],"[(0, 404)]"
50,20230720_120330_440255,10,user,Aber es gibt immer wieder neue Spielsituationen die so nich nicht vorkamen,['Z.K1'],"[(0, 74)]"
51,20230720_120330_440255,11,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine Schiri-KI hat keine Autorität auf dem Platz |   Das ist möglich. Im Szenario ist ein Schiedsrichter bzw. eine Schiedsrichterin auf dem Platz vorgesehen, der oder die die Entscheidungen der Schiri-KI kommuniziert.",['Z.K9'],"[(0, 363)]"
52,20230720_120330_440255,12,user,Da hat aber der Schiedsrichter auf dem Platz keine Autorität,['Z.K9'],"[(0, 60)]"
53,20230720_120330_440255,13,bot,"Du sagst, dass Eine Schiri-KI keine Autorität auf dem Platz hat. Ich denke damit liegst du richtig. Ansprechen möchte ich noch: Aufgrund der objektiven und nachvollziehbaren Entscheidungen der SchiriKI wird es zu weniger Diskussionen und Protesten auf dem Spielfeld kommen.","['intro_27', 'Z.K9', 'intro_5', 'z_trans_11', 'Z.P3']","[(0, 15), (15, 65), (65, 100), (100, 128), (128, 274)]"
54,20230720_120330_440255,14,user,Das sehe ich anders,['DISSENT'],"[(0, 19)]"
55,20230720_120330_440255,15,bot,"Mit anderen Worten, eine SchiriKI reduziert die Emotionalität. Da gebe ich dir recht. Darüber hinaus finde ich, dass hier noch folgendes beachtet werden sollte: Eine SchiriKI kann ihre Entscheidungen auf Monitoren (im Stadion, im Fernsehen) begründen und durch Zeigen ähnliche Situationen erklären. Hierdurch können ihre Entscheidungen auch überprüft und nachverfolgt werden.","['intro_32', 'Z.P3-1', 'intro_6', 'z_trans_1', 'Z.P7']","[(0, 20), (20, 63), (63, 86), (86, 161), (161, 376)]"
56,20230720_125810_203163,0,user,Weil auch die Ki mal Fehler machen kann und nicht mit Emotionen auf Situationen reagieren kann,"['Z.P3-3', 'Z.K5']","[(0, 39), (39, 94)]"
57,20230720_125810_203163,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Einer SchiriKI fehlt die menschliche Intuition. |   Das ist ein gutes Argument. Direkt dazu: Eine SchiriKI kann die menschliche Erfahrung durch das Training mit Daten in Form des überwachten Lernens nutzen. Daraus entwickelt sich eine ganz eigene Art von Intuition.",['Z.K5'],"[(0, 411)]"
58,20230720_125810_203163,2,user,Pk,['OTHER'],"[(0, 2)]"
